Date,Year,New Cases,Total Cases,Recovered,Deaths,Active Cases
06-Mar,2020,1,1,0,0,1
07-Mar,2020,2,3,0,0,3
08-Mar,2020,0,3,0,0,3
09-Mar,2020,1,4,0,0,4
10-Mar,2020,1,5,0,0,5
11-Mar,2020,2,7,0,0,7
12-Mar,2020,5,12,0,0,12
13-Mar,2020,1,13,1,0,12
14-Mar,2020,5,18,1,0,17
15-Mar,2020,3,21,2,0,19
16-Mar,2020,9,30,2,0,28
17-Mar,2020,8,38,2,0,36
18-Mar,2020,10,48,2,0,46
19-Mar,2020,5,53,2,0,51
20-Mar,2020,11,64,2,0,62
21-Mar,2020,9,73,2,0,71
22-Mar,2020,17,90,2,0,88
23-Mar,2020,17,107,2,0,105
24-Mar,2020,3,110,2,0,108
25-Mar,2020,19,129,2,0,127
26-Mar,2020,5,134,2,0,132
27-Mar,2020,5,139,2,0,137
28-Mar,2020,10,149,2,0,147
29-Mar,2020,2,151,2,0,149
30-Mar,2020,5,156,2,0,154
31-Mar,2020,13,169,2,0,167
01-Apr,2020,19,188,2,0,186
02-Apr,2020,7,195,2,0,193
03-Apr,2020,7,202,2,0,200
04-Apr,2020,11,213,2,0,211
05-Apr,2020,14,227,5,0,222
06-Apr,2020,14,241,5,0,236
07-Apr,2020,52,293,5,0,288
08-Apr,2020,6,299,16,1,282
09-Apr,2020,38,337,16,2,319
10-Apr,2020,13,350,16,2,332
11-Apr,2020,20,370,16,3,351
12-Apr,2020,8,378,44,3,331
13-Apr,2020,6,386,44,3,337
14-Apr,2020,9,393,44,3,346
15-Apr,2020,6,399,44,3,352
16-Apr,2020,13,412,82,3,327
17-Apr,2020,10,422,91,3,328
18-Apr,2020,4,426,99,3,324
19-Apr,2020,1,427,118,3,306
20-Apr,2020,4,431,126,3,302
21-Apr,2020,12,443,150,3,290
22-Apr,2020,1,444,165,3,276
23-Apr,2020,1,445,204,3,238
24-Apr,2020,2,447,223,3,221
25-Apr,2020,1,448,249,4,195
26-Apr,2020,0,448,282,4,162
27-Apr,2020,2,450,286,4,160
