Date,Number of downloads,Proportion of 13+ population
22/10/2020,78189,16.2%
27/10/2020,80022,16.6%
28/10/2020,80422,16.6%
04/11/2020,81240,16.8%
05/11/2020,81465,16.9%
12/11/2020,83017,17.2%
19/11/2020,84210,17.4%
26/11/2020,85204,17.6%
03/12/2020,86250,17.9%
08/12/2020,86903,18.0%
10/12/2020,87079,18.0%
15/12/2020,87602,18.1%
17/12/2020,87682,18.1%
22/12/2020,88118,18.2%
29/12/2020,89160,18.5%
06/01/2021,90168,18.7%
07/01/2021,90281,18.7%
13/01/2021,90998,18.8%
14/01/2021,91215,18.9%
20/01/2021,91758,19.0%
21/01/2021,91865,19.0%
27/01/2021,92236,19.1%
28/01/2021,92330,19.1%
03/02/2021,93101,19.3%
04/02/2021,93189,19.3%
10/02/2021,93665,19.4%
11/02/2021,93711,19.4%
17/02/2021,94089,19.5%
19/02/2021,94215,19.5%
24/02/2021,94550,19.6%
26/02/2021,94672,19.6%
03/03/2021,95083,19.7%
05/03/2021,95267,19.7%
10/03/2021,95703,19.8%
12/03/2021,95885,19.8%
17/03/2021,96471,20.0%
18/03/2021,96527,20.0%
24/03/2021,97004,20.1%
26/03/2021,97164,20.1%
31/03/2021,97442,20.2%
01/04/2021,97484,20.2%
07/04/2021,97942,20.3%
09/04/2021,98002,20.3%
14/04/2021,98364,20.4%
16/04/2021,98483,20.4%
20/04/2021,99179,20.5%
21/04/2021,99226,20.5%
22/04/2021,99329,20.6%
30/04/2021,100037,20.7%
07/05/2021,100435,20.8%
14/05/2021,100753,20.9%
19/05/2021,101186,20.9%
21/05/2021,101271,21.0%
26/05/2021,101593,21.0%
28/05/2021,101709,21.1%
02/06/2021,102370,21.2%
04/06/2021,102542,21.2%
